instant,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
576,3,1,7,0,0,0,1,2153,4444,6597
577,3,1,7,0,1,1,1,1040,6065,7105
578,3,1,7,0,2,1,1,968,6248,7216
579,3,1,8,0,3,1,1,1074,6506,7580
580,3,1,8,0,4,1,1,983,6278,7261
581,3,1,8,0,5,1,2,1328,5847,7175
582,3,1,8,0,6,0,1,2345,4479,6824
583,3,1,8,0,0,0,1,1707,3757,5464
584,3,1,8,0,1,1,2,1233,5780,7013
585,3,1,8,0,2,1,2,1278,5995,7273
586,3,1,8,0,3,1,2,1263,6271,7534
587,3,1,8,0,4,1,1,1196,6090,7286
588,3,1,8,0,5,1,2,1065,4721,5786
589,3,1,8,0,6,0,2,2247,4052,6299
590,3,1,8,0,0,0,1,2182,4362,6544
591,3,1,8,0,1,1,1,1207,5676,6883
592,3,1,8,0,2,1,1,1128,5656,6784
593,3,1,8,0,3,1,1,1198,6149,7347
594,3,1,8,0,4,1,1,1338,6267,7605
595,3,1,8,0,5,1,1,1483,5665,7148
596,3,1,8,0,6,0,1,2827,5038,7865
597,3,1,8,0,0,0,2,1208,3341,4549
598,3,1,8,0,1,1,2,1026,5504,6530
599,3,1,8,0,2,1,1,1081,5925,7006
600,3,1,8,0,3,1,1,1094,6281,7375
601,3,1,8,0,4,1,1,1363,6402,7765
602,3,1,8,0,5,1,2,1325,6257,7582
603,3,1,8,0,6,0,2,1829,4224,6053
604,3,1,8,0,0,0,2,1483,3772,5255
605,3,1,8,0,1,1,1,989,5928,6917
606,3,1,8,0,2,1,1,935,6105,7040
607,3,1,8,0,3,1,1,1177,6520,7697
608,3,1,8,0,4,1,1,1172,6541,7713
609,3,1,8,0,5,1,1,1433,5917,7350
610,3,1,9,0,6,0,2,2352,3788,6140
611,3,1,9,0,0,0,2,2613,3197,5810
612,3,1,9,1,1,0,1,1965,4069,6034
613,3,1,9,0,2,1,1,867,5997,6864
614,3,1,9,0,3,1,1,832,6280,7112
615,3,1,9,0,4,1,2,611,5592,6203
616,3,1,9,0,5,1,1,1045,6459,7504
617,3,1,9,0,6,0,2,1557,4419,5976
618,3,1,9,0,0,0,1,2570,5657,8227
619,3,1,9,0,1,1,1,1118,6407,7525
620,3,1,9,0,2,1,1,1070,6697,7767
621,3,1,9,0,3,1,1,1050,6820,7870
622,3,1,9,0,4,1,1,1054,6750,7804
623,3,1,9,0,5,1,1,1379,6630,8009
624,3,1,9,0,6,0,1,3160,5554,8714
625,3,1,9,0,0,0,1,2166,5167,7333
626,3,1,9,0,1,1,2,1022,5847,6869
627,3,1,9,0,2,1,2,371,3702,4073
628,3,1,9,0,3,1,1,788,6803,7591
629,3,1,9,0,4,1,1,939,6781,7720
630,3,1,9,0,5,1,1,1250,6917,8167
631,3,1,9,0,6,0,1,2512,5883,8395
632,4,1,9,0,0,0,1,2454,5453,7907
633,4,1,9,0,1,1,1,1001,6435,7436
634,4,1,9,0,2,1,1,845,6693,7538
635,4,1,9,0,3,1,1,787,6946,7733
636,4,1,9,0,4,1,2,751,6642,7393
637,4,1,9,0,5,1,2,1045,6370,7415
638,4,1,9,0,6,0,1,2589,5966,8555
639,4,1,9,0,0,0,1,2015,4874,6889
640,4,1,10,0,1,1,2,763,6015,6778
641,4,1,10,0,2,1,3,315,4324,4639
642,4,1,10,0,3,1,2,728,6844,7572
643,4,1,10,0,4,1,2,891,6437,7328
644,4,1,10,0,5,1,1,1516,6640,8156
645,4,1,10,0,6,0,1,3031,4934,7965
646,4,1,10,0,0,0,2,781,2729,3510
647,4,1,10,1,1,0,2,874,4604,5478
648,4,1,10,0,2,1,2,601,5791,6392
649,4,1,10,0,3,1,1,780,6911,7691
650,4,1,10,0,4,1,1,834,6736,7570
651,4,1,10,0,5,1,1,1060,6222,7282
652,4,1,10,0,6,0,1,2252,4857,7109
653,4,1,10,0,0,0,1,2080,4559,6639
654,4,1,10,0,1,1,2,760,5115,5875
655,4,1,10,0,2,1,1,922,6612,7534
656,4,1,10,0,3,1,1,979,6482,7461
657,4,1,10,0,4,1,2,1008,6501,7509
658,4,1,10,0,5,1,2,753,4671,5424
659,4,1,10,0,6,0,1,2806,5284,8090
660,4,1,10,0,0,0,1,2132,4692,6824
661,4,1,10,0,1,1,1,830,6228,7058
662,4,1,10,0,2,1,1,841,6625,7466
663,4,1,10,0,3,1,1,795,6898,7693
664,4,1,10,0,4,1,2,875,6484,7359
665,4,1,10,0,5,1,2,1182,6262,7444
666,4,1,10,0,6,0,2,2643,5209,7852
667,4,1,10,0,0,0,2,998,3461,4459
668,4,1,10,0,1,1,3,2,20,22
669,4,1,10,0,2,1,2,87,1009,1096
670,4,1,10,0,3,1,2,419,5147,5566
671,4,1,11,0,4,1,2,466,5520,5986
672,4,1,11,0,5,1,1,618,5229,5847
673,4,1,11,0,6,0,2,1029,4109,5138
674,4,1,11,0,0,0,1,1201,3906,5107
675,4,1,11,0,1,1,1,378,4881,5259
676,4,1,11,0,2,1,1,466,5220,5686
677,4,1,11,0,3,1,2,326,4709,5035
678,4,1,11,0,4,1,1,340,4975,5315
679,4,1,11,0,5,1,1,709,5283,5992
680,4,1,11,0,6,0,1,2090,4446,6536
681,4,1,11,0,0,0,1,2290,4562,6852
682,4,1,11,1,1,0,1,1097,5172,6269
683,4,1,11,0,2,1,2,327,3767,4094
684,4,1,11,0,3,1,1,373,5122,5495
685,4,1,11,0,4,1,2,320,5125,5445
686,4,1,11,0,5,1,1,484,5214,5698
687,4,1,11,0,6,0,1,1313,4316,5629
688,4,1,11,0,0,0,1,922,3747,4669
689,4,1,11,0,1,1,2,449,5050,5499
690,4,1,11,0,2,1,2,534,5100,5634
691,4,1,11,0,3,1,1,615,4531,5146
692,4,1,11,1,4,0,1,955,1470,2425
693,4,1,11,0,5,1,1,1603,2307,3910
694,4,1,11,0,6,0,1,532,1745,2277
695,4,1,11,0,0,0,1,309,2115,2424
696,4,1,11,0,1,1,1,337,4750,5087
697,4,1,11,0,2,1,2,123,3836,3959
698,4,1,11,0,3,1,1,198,5062,5260
699,4,1,11,0,4,1,1,243,5080,5323
700,4,1,11,0,5,1,1,362,5306,5668
701,4,1,12,0,6,0,2,951,4240,5191
702,4,1,12,0,0,0,2,892,3757,4649
703,4,1,12,0,1,1,1,555,5679,6234
704,4,1,12,0,2,1,1,551,6055,6606
705,4,1,12,0,3,1,1,331,5398,5729
706,4,1,12,0,4,1,1,340,5035,5375
707,4,1,12,0,5,1,2,349,4659,5008
708,4,1,12,0,6,0,2,1153,4429,5582
709,4,1,12,0,0,0,2,441,2787,3228
710,4,1,12,0,1,1,2,329,4841,5170
711,4,1,12,0,2,1,2,282,5219,5501
712,4,1,12,0,3,1,2,310,5009,5319
713,4,1,12,0,4,1,1,425,5107,5532
714,4,1,12,0,5,1,1,429,5182,5611
715,4,1,12,0,6,0,1,767,4280,5047
716,4,1,12,0,0,0,2,538,3248,3786
717,4,1,12,0,1,1,2,212,4373,4585
718,4,1,12,0,2,1,1,433,5124,5557
719,4,1,12,0,3,1,1,333,4934,5267
720,4,1,12,0,4,1,2,314,3814,4128
721,1,1,12,0,5,1,2,221,3402,3623
722,1,1,12,0,6,0,1,205,1544,1749
723,1,1,12,0,0,0,1,408,1379,1787
724,1,1,12,0,1,1,2,174,746,920
725,1,1,12,1,2,0,2,440,573,1013
726,1,1,12,0,3,1,3,9,432,441
727,1,1,12,0,4,1,2,247,1867,2114
728,1,1,12,0,5,1,2,644,2451,3095
729,1,1,12,0,6,0,2,159,1182,1341
730,1,1,12,0,0,0,1,364,1432,1796
731,1,1,12,0,1,1,2,439,2290,2729
